Team1, Team2, Score1, Score2, WinningTeam
Oakland Athletics, Toronto Blue Jays, 10, 11, 2
New York Mets, Washington Nationals, 6, 2, 1
Texas Rangers, Los Angeles Angels, 1, 4, 2
Seattle Mariners, Arizona D'Backs, 8, 5, 1
Cleveland Indians, Boston Red Sox, 3, 4, 2
Pittsburgh Pirates, Chicago Cubs, 6, 7, 2
Detroit Tigers, Cincinnati Reds, 4, 7, 2
Atlanta Braves, Colorado Rockies, 6, 7, 2
Chicago White Sox, Kansas City Royals, 10, 7, 1
Philadelphia Phillies, Miami Marlins, 2, 3, 2
St. Louis Cardinals, Milwaukee Brewers, 0, 4, 2
Baltimore Orioles, New York Yankees, 4, 3, 1
Houston Astros, San Diego Padres, 2, 10, 2
Los Angeles Dodgers, San Francisco Giants, 6, 1, 1
Minnesota Twins, Tampa Bay Rays, 4, 11, 2
Oakland Athletics, Toronto Blue Jays, 8, 10, 2
New York Mets, Washington Nationals, 11, 9, 1
New York Mets, Washington Nationals, 3, 4, 2
Texas Rangers, Los Angeles Angels, 7, 3, 1
Seattle Mariners, Arizona D'Backs, 10, 4, 1
Cleveland Indians, Boston Red Sox, 11, 5, 1
Pittsburgh Pirates, Chicago Cubs, 8, 11, 2
Detroit Tigers, Cincinnati Reds, 4, 1, 1
Atlanta Braves, Colorado Rockies, 9, 2, 1
Chicago White Sox, Kansas City Royals, 0, 6, 2
Philadelphia Phillies, Miami Marlins, 4, 3, 1
St. Louis Cardinals, Milwaukee Brewers, 5, 6, 2
Baltimore Orioles, New York Yankees, 8, 7, 1
Houston Astros, San Diego Padres, 3, 4, 2
Los Angeles Dodgers, San Francisco Giants, 4, 6, 2
Minnesota Twins, Tampa Bay Rays, 6, 5, 1
Oakland Athletics, Toronto Blue Jays, 0, 8, 2
New York Mets, Washington Nationals, 13, 6, 1
Texas Rangers, Los Angeles Angels, 4, 0, 1
Kansas City Royals, Baltimore Orioles, 3, 2, 1
Tampa Bay Rays, Boston Red Sox, 11, 10, 1
Cincinnati Reds, Chicago Cubs, 3, 4, 2
Minnesota Twins, Cleveland Indians, 5, 2, 1
San Francisco Giants, Colorado Rockies, 10, 5, 1
Seattle Mariners, Houston Astros, 2, 11, 2
Philadelphia Phillies, Milwaukee Brewers, 12, 0, 1
Toronto Blue Jays, New York Yankees, 8, 0, 1
Detroit Tigers, Pittsburgh Pirates, 3, 6, 2
Los Angeles Dodgers, St. Louis Cardinals, 5, 1, 1
New York Mets, Washington Nationals, 3, 4, 2
Texas Rangers, Arizona D'Backs, 3, 1, 1
Washington Nationals, Atlanta Braves, 5, 8, 2
Kansas City Royals, Baltimore Orioles, 3, 7, 2
Tampa Bay Rays, Boston Red Sox, 12, 7, 1
Cincinnati Reds, Chicago Cubs, 4, 3, 1
Minnesota Twins, Cleveland Indians, 3, 0, 1
San Francisco Giants, Colorado Rockies, 12, 3, 1
Seattle Mariners, Houston Astros, 4, 5, 2
New York Mets, Miami Marlins, 9, 4, 1
Philadelphia Phillies, Milwaukee Brewers, 0, 10, 2
Toronto Blue Jays, New York Yankees, 5, 1, 1
Chicago White Sox, Oakland Athletics, 6, 3, 1
Detroit Tigers, Pittsburgh Pirates, 2, 3, 2
Los Angeles Angels, San Diego Padres, 4, 0, 1
Los Angeles Dodgers, St. Louis Cardinals, 7, 2, 1
Texas Rangers, Arizona D'Backs, 8, 5, 1
Washington Nationals, Atlanta Braves, 4, 2, 1
Kansas City Royals, Baltimore Orioles, 8, 9, 2
Tampa Bay Rays, Boston Red Sox, 1, 2, 2
Cincinnati Reds, Chicago Cubs, 1, 4, 2
Minnesota Twins, Cleveland Indians, 3, 0, 1
San Francisco Giants, Colorado Rockies, 7, 4, 1
Seattle Mariners, Houston Astros, 8, 5, 1
New York Mets, Miami Marlins, 1, 2, 2
Philadelphia Phillies, Milwaukee Brewers, 3, 4, 2
Toronto Blue Jays, New York Yankees, 6, 3, 1
Chicago White Sox, Oakland Athletics, 1, 5, 2
Detroit Tigers, Pittsburgh Pirates, 5, 1, 1
Los Angeles Angels, San Diego Padres, 5, 8, 2
Los Angeles Dodgers, St. Louis Cardinals, 4, 5, 2
Washington Nationals, Atlanta Braves, 6, 7, 2
Kansas City Royals, Baltimore Orioles, 6, 0, 1
Minnesota Twins, Cleveland Indians, 1, 4, 2
New York Mets, Miami Marlins, 2, 3, 2
Toronto Blue Jays, New York Yankees, 6, 4, 1
Chicago White Sox, Oakland Athletics, 1, 3, 2
Colorado Rockies, Philadelphia Phillies, 4, 3, 1
Los Angeles Dodgers, St. Louis Cardinals, 1, 2, 2
Miami Marlins, Atlanta Braves, 2, 6, 2
Toronto Blue Jays, Baltimore Orioles, 3, 6, 2
Boston Red Sox, Chicago White Sox, 3, 4, 2
San Francisco Giants, Chicago Cubs, 6, 1, 1
Milwaukee Brewers, Cleveland Indians, 10, 3, 1
Tampa Bay Rays, Detroit Tigers, 4, 10, 2
Los Angeles Angels, Houston Astros, 5, 10, 2
San Diego Padres, Los Angeles Dodgers, 0, 3, 2
Kansas City Royals, Minnesota Twins, 6, 4, 1
New York Yankees, New York Mets, 3, 10, 2
Texas Rangers, Oakland Athletics, 5, 10, 2
Colorado Rockies, Philadelphia Phillies, 11, 2, 1
Washington Nationals, Pittsburgh Pirates, 3, 4, 2
Arizona D'Backs, Seattle Mariners, 4, 5, 2
Cincinnati Reds, St. Louis Cardinals, 4, 2, 1
Miami Marlins, Atlanta Braves, 6, 4, 1
Toronto Blue Jays, Baltimore Orioles, 11, 10, 1
Toronto Blue Jays, Baltimore Orioles, 11, 2, 1
Boston Red Sox, Chicago White Sox, 9, 8, 1
San Francisco Giants, Chicago Cubs, 15, 4, 1
Milwaukee Brewers, Cleveland Indians, 3, 0, 1
Tampa Bay Rays, Detroit Tigers, 7, 2, 1
Los Angeles Angels, Houston Astros, 4, 2, 1
San Diego Padres, Los Angeles Dodgers, 4, 5, 2
Kansas City Royals, Minnesota Twins, 2, 9, 2
New York Yankees, New York Mets, 8, 7, 1
Texas Rangers, Oakland Athletics, 8, 6, 1
Colorado Rockies, Philadelphia Phillies, 1, 6, 2
Washington Nationals, Pittsburgh Pirates, 7, 10, 2
Arizona D'Backs, Seattle Mariners, 7, 3, 1
Cincinnati Reds, St. Louis Cardinals, 4, 6, 2
Miami Marlins, Atlanta Braves, 3, 5, 2
Toronto Blue Jays, Baltimore Orioles, 22, 7, 1
Boston Red Sox, Chicago White Sox, 1, 2, 2
San Francisco Giants, Chicago Cubs, 6, 5, 1
Milwaukee Brewers, Cleveland Indians, 11, 1, 1
Tampa Bay Rays, Detroit Tigers, 7, 8, 2
Los Angeles Angels, Houston Astros, 1, 3, 2
San Diego Padres, Los Angeles Dodgers, 0, 8, 2
Kansas City Royals, Minnesota Twins, 5, 3, 1
New York Yankees, New York Mets, 6, 7, 2
Texas Rangers, Oakland Athletics, 4, 3, 1
Colorado Rockies, Philadelphia Phillies, 5, 4, 1
Washington Nationals, Pittsburgh Pirates, 6, 2, 1
Arizona D'Backs, Seattle Mariners, 5, 4, 1
Cincinnati Reds, St. Louis Cardinals, 0, 2, 2
Arizona D'Backs, Los Angeles Dodgers, 1, 5, 2
Minnesota Twins, New York Yankees, 5, 6, 2
St. Louis Cardinals, New York Mets, 7, 0, 1
Boston Red Sox, Seattle Mariners, 4, 5, 2
San Diego Padres, San Francisco Giants, 1, 9, 2
Houston Astros, Texas Rangers, 15, 1, 1
Tampa Bay Rays, Toronto Blue Jays, 1, 8, 2
Miami Marlins, Washington Nationals, 3, 0, 1
Colorado Rockies, Atlanta Braves, 5, 4, 1
New York Yankees, Baltimore Orioles, 7, 2, 1
Los Angeles Angels, Chicago White Sox, 3, 9, 2
Milwaukee Brewers, Detroit Tigers, 0, 1, 2
Oakland Athletics, Kansas City Royals, 7, 10, 2
Arizona D'Backs, Los Angeles Dodgers, 4, 8, 2
Cleveland Indians, Minnesota Twins, 3, 1, 1
Cleveland Indians, Minnesota Twins, 3, 6, 2
St. Louis Cardinals, New York Mets, 7, 6, 1
Chicago Cubs, Philadelphia Phillies, 6, 3, 1
Cincinnati Reds, Pittsburgh Pirates, 5, 6, 2
Boston Red Sox, Seattle Mariners, 8, 4, 1
San Diego Padres, San Francisco Giants, 1, 6, 2
Houston Astros, Texas Rangers, 1, 8, 2
Tampa Bay Rays, Toronto Blue Jays, 2, 0, 1
Miami Marlins, Washington Nationals, 2, 8, 2
Colorado Rockies, Atlanta Braves, 3, 2, 1
New York Yankees, Baltimore Orioles, 4, 3, 1
Los Angeles Angels, Chicago White Sox, 3, 2, 1
Milwaukee Brewers, Detroit Tigers, 1, 4, 2
Oakland Athletics, Kansas City Royals, 12, 10, 1
Arizona D'Backs, Los Angeles Dodgers, 3, 5, 2
Cleveland Indians, Minnesota Twins, 12, 3, 1
St. Louis Cardinals, New York Mets, 11, 4, 1
Chicago Cubs, Philadelphia Phillies, 5, 6, 2
Cincinnati Reds, Pittsburgh Pirates, 4, 5, 2
Boston Red Sox, Seattle Mariners, 9, 4, 1
San Diego Padres, San Francisco Giants, 9, 6, 1
Houston Astros, Texas Rangers, 7, 2, 1
Tampa Bay Rays, Toronto Blue Jays, 3, 6, 2
Miami Marlins, Washington Nationals, 8, 6, 1
New York Yankees, Baltimore Orioles, 2, 3, 2
Los Angeles Angels, Chicago White Sox, 9, 3, 1
Oakland Athletics, Kansas City Royals, 7, 2, 1
Chicago Cubs, Philadelphia Phillies, 8, 17, 2
Cincinnati Reds, Pittsburgh Pirates, 1, 0, 1
San Diego Padres, San Francisco Giants, 7, 4, 1
Detroit Tigers, Tampa Bay Rays, 2, 5, 2
Houston Astros, Texas Rangers, 12, 1, 1
Oakland Athletics, Los Angeles Angels, 5, 4, 1
Baltimore Orioles, Boston Red Sox, 1, 7, 2
Los Angeles Dodgers, Cincinnati Reds, 1, 3, 2
Arizona D'Backs, Houston Astros, 3, 4, 2
Seattle Mariners, Kansas City Royals, 6, 2, 1
Pittsburgh Pirates, Miami Marlins, 2, 1, 1
Chicago Cubs, Milwaukee Brewers, 5, 8, 2
Cleveland Indians, New York Yankees, 0, 8, 2
Philadelphia Phillies, New York Mets, 4, 3, 1
Atlanta Braves, San Francisco Giants, 5, 6, 2
San Diego Padres, St. Louis Cardinals, 2, 8, 2
Detroit Tigers, Tampa Bay Rays, 4, 7, 2
Chicago White Sox, Texas Rangers, 8, 0, 1
Minnesota Twins, Toronto Blue Jays, 7, 3, 1
Colorado Rockies, Washington Nationals, 9, 8, 1
Oakland Athletics, Los Angeles Angels, 3, 1, 1
Baltimore Orioles, Boston Red Sox, 3, 9, 2
Los Angeles Dodgers, Cincinnati Reds, 5, 1, 1
Arizona D'Backs, Houston Astros, 6, 4, 1
Seattle Mariners, Kansas City Royals, 1, 8, 2
Pittsburgh Pirates, Miami Marlins, 6, 3, 1
Chicago Cubs, Milwaukee Brewers, 4, 6, 2
Cleveland Indians, New York Yankees, 11, 3, 1
Philadelphia Phillies, New York Mets, 5, 3, 1
Atlanta Braves, San Francisco Giants, 0, 2, 2
San Diego Padres, St. Louis Cardinals, 2, 3, 2
Detroit Tigers, Tampa Bay Rays, 4, 3, 1
Chicago White Sox, Texas Rangers, 1, 2, 2
Minnesota Twins, Toronto Blue Jays, 2, 6, 2
Colorado Rockies, Washington Nationals, 6, 0, 1
Oakland Athletics, Los Angeles Angels, 3, 2, 1
Baltimore Orioles, Boston Red Sox, 6, 8, 2
Los Angeles Dodgers, Cincinnati Reds, 8, 5, 1
Arizona D'Backs, Houston Astros, 6, 7, 2
Seattle Mariners, Kansas City Royals, 7, 1, 1
Pittsburgh Pirates, Miami Marlins, 5, 6, 2
Chicago Cubs, Milwaukee Brewers, 6, 4, 1
Cleveland Indians, New York Yankees, 11, 1, 1
Philadelphia Phillies, New York Mets, 2, 3, 2
Atlanta Braves, San Francisco Giants, 3, 0, 1
San Diego Padres, St. Louis Cardinals, 7, 8, 2
Detroit Tigers, Tampa Bay Rays, 2, 0, 1
Chicago White Sox, Texas Rangers, 7, 2, 1
Minnesota Twins, Toronto Blue Jays, 3, 5, 2
Colorado Rockies, Washington Nationals, 0, 3, 2
Houston Astros, Los Angeles Angels, 10, 0, 1
Atlanta Braves, Arizona D'Backs, 11, 4, 1
Pittsburgh Pirates, Cincinnati Reds, 5, 9, 2
Kansas City Royals, Cleveland Indians, 7, 2, 1
Kansas City Royals, Cleveland Indians, 4, 2, 1
Chicago White Sox, Detroit Tigers, 3, 4, 2
Washington Nationals, Miami Marlins, 7, 8, 2
St. Louis Cardinals, Milwaukee Brewers, 5, 2, 1
Texas Rangers, New York Yankees, 3, 4, 2
Seattle Mariners, Oakland Athletics, 4, 2, 1
Baltimore Orioles, Philadelphia Phillies, 2, 0, 1
Toronto Blue Jays, Tampa Bay Rays, 4, 6, 2
Houston Astros, Los Angeles Angels, 10, 5, 1
Atlanta Braves, Arizona D'Backs, 6, 1, 1
New York Mets, Boston Red Sox, 3, 6, 2
Minnesota Twins, Chicago Cubs, 9, 5, 1
Pittsburgh Pirates, Cincinnati Reds, 6, 2, 1
Kansas City Royals, Cleveland Indians, 1, 4, 2
Los Angeles Dodgers, Colorado Rockies, 5, 4, 1
Chicago White Sox, Detroit Tigers, 3, 5, 2
Washington Nationals, Miami Marlins, 7, 1, 1
St. Louis Cardinals, Milwaukee Brewers, 2, 1, 1
Texas Rangers, New York Yankees, 1, 7, 2
Seattle Mariners, Oakland Athletics, 5, 2, 1
Baltimore Orioles, Philadelphia Phillies, 2, 3, 2
San Francisco Giants, San Diego Padres, 6, 5, 1
Toronto Blue Jays, Tampa Bay Rays, 4, 2, 1
Houston Astros, Los Angeles Angels, 9, 5, 1
Atlanta Braves, Arizona D'Backs, 9, 2, 1
New York Mets, Boston Red Sox, 5, 12, 2
Minnesota Twins, Chicago Cubs, 5, 4, 1
Los Angeles Dodgers, Colorado Rockies, 5, 10, 2
Washington Nationals, Miami Marlins, 7, 5, 1
St. Louis Cardinals, Milwaukee Brewers, 10, 2, 1
Texas Rangers, New York Yankees, 3, 7, 2
Seattle Mariners, Oakland Athletics, 4, 1, 1
Baltimore Orioles, Philadelphia Phillies, 3, 4, 2
San Francisco Giants, San Diego Padres, 8, 6, 1
Toronto Blue Jays, Tampa Bay Rays, 1, 7, 2
Houston Astros, Los Angeles Angels, 2, 3, 2
Atlanta Braves, Arizona D'Backs, 4, 6, 2
Texas Rangers, Baltimore Orioles, 0, 3, 2
Washington Nationals, Cincinnati Reds, 3, 2, 1
Chicago White Sox, Cleveland Indians, 7, 2, 1
Chicago White Sox, Cleveland Indians, 3, 5, 2
Los Angeles Dodgers, Colorado Rockies, 7, 5, 1
St. Louis Cardinals, Milwaukee Brewers, 8, 5, 1
Toronto Blue Jays, Minnesota Twins, 2, 7, 2
Seattle Mariners, Oakland Athletics, 6, 5, 1
Pittsburgh Pirates, Philadelphia Phillies, 6, 12, 2
San Francisco Giants, San Diego Padres, 6, 7, 2
Seattle Mariners, Los Angeles Angels, 6, 5, 1
Los Angeles Dodgers, Arizona D'Backs, 4, 2, 1
Texas Rangers, Baltimore Orioles, 8, 5, 1
New York Yankees, Boston Red Sox, 8, 3, 1
St. Louis Cardinals, Chicago Cubs, 8, 5, 1
St. Louis Cardinals, Chicago Cubs, 12, 4, 1
Washington Nationals, Cincinnati Reds, 7, 8, 2
Chicago White Sox, Cleveland Indians, 1, 0, 1
San Francisco Giants, Colorado Rockies, 7, 2, 1
Kansas City Royals, Detroit Tigers, 3, 1, 1
New York Mets, Milwaukee Brewers, 1, 5, 2
Toronto Blue Jays, Minnesota Twins, 1, 3, 2
Houston Astros, Oakland Athletics, 2, 14, 2
Pittsburgh Pirates, Philadelphia Phillies, 6, 8, 2
Atlanta Braves, San Diego Padres, 4, 0, 1
Miami Marlins, Tampa Bay Rays, 0, 8, 2
Seattle Mariners, Los Angeles Angels, 1, 14, 2
Los Angeles Dodgers, Arizona D'Backs, 2, 7, 2
Texas Rangers, Baltimore Orioles, 2, 3, 2
New York Yankees, Boston Red Sox, 5, 3, 1
St. Louis Cardinals, Chicago Cubs, 8, 5, 1
Washington Nationals, Cincinnati Reds, 6, 7, 2
Chicago White Sox, Cleveland Indians, 0, 6, 2
San Francisco Giants, Colorado Rockies, 7, 2, 1
Kansas City Royals, Detroit Tigers, 1, 5, 2
New York Mets, Milwaukee Brewers, 1, 2, 2
Toronto Blue Jays, Minnesota Twins, 6, 1, 1
Houston Astros, Oakland Athletics, 1, 2, 2
Pittsburgh Pirates, Philadelphia Phillies, 0, 3, 2
Atlanta Braves, San Diego Padres, 10, 8, 1
Miami Marlins, Tampa Bay Rays, 3, 7, 2
Seattle Mariners, Los Angeles Angels, 5, 1, 1
Los Angeles Dodgers, Arizona D'Backs, 3, 0, 1
Texas Rangers, Baltimore Orioles, 7, 4, 1
New York Yankees, Boston Red Sox, 6, 3, 1
St. Louis Cardinals, Chicago Cubs, 4, 2, 1
Washington Nationals, Cincinnati Reds, 2, 9, 2
Chicago White Sox, Cleveland Indians, 5, 2, 1
San Francisco Giants, Colorado Rockies, 6, 2, 1
Kansas City Royals, Detroit Tigers, 2, 1, 1
New York Mets, Milwaukee Brewers, 4, 8, 2
Toronto Blue Jays, Minnesota Twins, 5, 2, 1
Houston Astros, Oakland Athletics, 3, 4, 2
Pittsburgh Pirates, Philadelphia Phillies, 6, 0, 1
Atlanta Braves, San Diego Padres, 4, 3, 1
Miami Marlins, Tampa Bay Rays, 2, 3, 2
Pittsburgh Pirates, Cincinnati Reds, 1, 13, 2
Kansas City Royals, Cleveland Indians, 3, 8, 2
Washington Nationals, Colorado Rockies, 5, 4, 1
Chicago White Sox, Detroit Tigers, 8, 7, 1
Oakland Athletics, Seattle Mariners, 4, 13, 2
Philadelphia Phillies, Atlanta Braves, 1, 2, 2
Boston Red Sox, Baltimore Orioles, 2, 4, 2
Cincinnati Reds, Chicago White Sox, 1, 7, 2
Washington Nationals, Colorado Rockies, 1, 3, 2
Tampa Bay Rays, Houston Astros, 3, 4, 2
Cleveland Indians, Kansas City Royals, 4, 6, 2
San Diego Padres, Los Angeles Dodgers, 1, 2, 2
Detroit Tigers, Minnesota Twins, 2, 3, 2
Miami Marlins, New York Mets, 2, 5, 2
Miami Marlins, New York Mets, 1, 2, 2
Chicago Cubs, Pittsburgh Pirates, 6, 8, 2
Oakland Athletics, Seattle Mariners, 2, 4, 2
Arizona D'Backs, San Francisco Giants, 4, 6, 2
Milwaukee Brewers, St. Louis Cardinals, 2, 6, 2
Los Angeles Angels, Texas Rangers, 2, 5, 2
New York Yankees, Toronto Blue Jays, 7, 2, 1
Philadelphia Phillies, Atlanta Braves, 2, 7, 2
Boston Red Sox, Baltimore Orioles, 6, 0, 1
Cincinnati Reds, Chicago White Sox, 1, 6, 2
Washington Nationals, Colorado Rockies, 5, 10, 2
Tampa Bay Rays, Houston Astros, 7, 0, 1
Cleveland Indians, Kansas City Royals, 5, 10, 2
San Diego Padres, Los Angeles Dodgers, 9, 11, 2
Detroit Tigers, Minnesota Twins, 2, 5, 2
Miami Marlins, New York Mets, 3, 2, 1
Chicago Cubs, Pittsburgh Pirates, 3, 2, 1
Oakland Athletics, Seattle Mariners, 2, 4, 2
Arizona D'Backs, San Francisco Giants, 0, 1, 2
Milwaukee Brewers, St. Louis Cardinals, 4, 0, 1
Los Angeles Angels, Texas Rangers, 7, 2, 1
New York Yankees, Toronto Blue Jays, 5, 6, 2
Philadelphia Phillies, Atlanta Braves, 3, 5, 2
Boston Red Sox, Baltimore Orioles, 2, 6, 2
Tampa Bay Rays, Houston Astros, 2, 3, 2
Cleveland Indians, Kansas City Royals, 6, 1, 1
San Diego Padres, Los Angeles Dodgers, 3, 8, 2
Detroit Tigers, Minnesota Twins, 10, 7, 1
Miami Marlins, New York Mets, 3, 12, 2
Chicago Cubs, Pittsburgh Pirates, 9, 0, 1
Arizona D'Backs, San Francisco Giants, 4, 5, 2
Milwaukee Brewers, St. Louis Cardinals, 3, 4, 2
Los Angeles Angels, Texas Rangers, 6, 7, 2
New York Yankees, Toronto Blue Jays, 6, 2, 1
Colorado Rockies, Arizona D'Backs, 9, 7, 1
New York Mets, Atlanta Braves, 4, 3, 1
Detroit Tigers, Chicago White Sox, 1, 8, 2
Oakland Athletics, Houston Astros, 8, 6, 1
Minnesota Twins, Kansas City Royals, 6, 11, 2
Milwaukee Brewers, Los Angeles Dodgers, 6, 8, 2
Philadelphia Phillies, Miami Marlins, 5, 0, 1
Tampa Bay Rays, New York Yankees, 4, 3, 1
Cincinnati Reds, Pittsburgh Pirates, 2, 9, 2
Los Angeles Angels, Seattle Mariners, 2, 1, 1
San Diego Padres, San Francisco Giants, 0, 3, 2
Chicago Cubs, St. Louis Cardinals, 3, 4, 2
Cleveland Indians, Texas Rangers, 9, 6, 1
Baltimore Orioles, Toronto Blue Jays, 4, 6, 2
Boston Red Sox, Washington Nationals, 4, 2, 1
Colorado Rockies, Arizona D'Backs, 2, 11, 2
New York Mets, Atlanta Braves, 5, 6, 2
Detroit Tigers, Chicago White Sox, 4, 5, 2
Oakland Athletics, Houston Astros, 4, 10, 2
Minnesota Twins, Kansas City Royals, 4, 0, 1
Milwaukee Brewers, Los Angeles Dodgers, 3, 8, 2
Philadelphia Phillies, Miami Marlins, 1, 3, 2
Tampa Bay Rays, New York Yankees, 12, 2, 1
Cincinnati Reds, Pittsburgh Pirates, 6, 8, 2
Los Angeles Angels, Seattle Mariners, 4, 6, 2
San Diego Padres, San Francisco Giants, 3, 2, 1
Chicago Cubs, St. Louis Cardinals, 6, 5, 1
Cleveland Indians, Texas Rangers, 2, 7, 2
Baltimore Orioles, Toronto Blue Jays, 1, 10, 2
Boston Red Sox, Washington Nationals, 5, 3, 1
Colorado Rockies, Arizona D'Backs, 4, 5, 2
New York Mets, Atlanta Braves, 0, 5, 2
Detroit Tigers, Chicago White Sox, 5, 2, 1
Oakland Athletics, Houston Astros, 6, 7, 2
Minnesota Twins, Kansas City Royals, 7, 3, 1
Milwaukee Brewers, Los Angeles Dodgers, 3, 10, 2
Philadelphia Phillies, Miami Marlins, 4, 5, 2
Tampa Bay Rays, New York Yankees, 0, 1, 2
Cincinnati Reds, Pittsburgh Pirates, 6, 3, 1
Los Angeles Angels, Seattle Mariners, 7, 3, 1
San Diego Padres, San Francisco Giants, 4, 11, 2
Chicago Cubs, St. Louis Cardinals, 3, 2, 1
Cleveland Indians, Texas Rangers, 6, 0, 1
Baltimore Orioles, Toronto Blue Jays, 4, 12, 2
Boston Red Sox, Washington Nationals, 7, 5, 1
New York Yankees, Boston Red Sox, 2, 6, 2
St. Louis Cardinals, Los Angeles Dodgers, 1, 3, 2
Chicago White Sox, Houston Astros, 1, 6, 2
Boston Red Sox, Tampa Bay Rays, 0, 5, 2
Chicago White Sox, Houston Astros, 4, 9, 2
Atlanta Braves, Milwaukee Brewers, 1, 2, 2
Los Angeles Dodgers, San Francisco Giants, 0, 4, 2
Boston Red Sox, Tampa Bay Rays, 14, 6, 1
Atlanta Braves, Milwaukee Brewers, 3, 0, 1
Los Angeles Dodgers, San Francisco Giants, 9, 2, 1
Tampa Bay Rays, Boston Red Sox, 4, 6, 2
Houston Astros, Chicago White Sox, 6, 12, 2
Milwaukee Brewers, Atlanta Braves, 0, 3, 2
Tampa Bay Rays, Boston Red Sox, 5, 6, 2
San Francisco Giants, Los Angeles Dodgers, 1, 0, 1
Milwaukee Brewers, Atlanta Braves, 4, 5, 2
Houston Astros, Chicago White Sox, 10, 1, 1
San Francisco Giants, Los Angeles Dodgers, 2, 7, 2
Los Angeles Dodgers, San Francisco Giants, 2, 1, 1
Boston Red Sox, Houston Astros, 4, 5, 2
Los Angeles Dodgers, Atlanta Braves, 2, 3, 2
Boston Red Sox, Houston Astros, 9, 5, 1
Los Angeles Dodgers, Atlanta Braves, 4, 5, 2
Houston Astros, Boston Red Sox, 3, 12, 2
Houston Astros, Boston Red Sox, 9, 2, 1
Atlanta Braves, Los Angeles Dodgers, 5, 6, 2
Houston Astros, Boston Red Sox, 9, 1, 1
Atlanta Braves, Los Angeles Dodgers, 9, 2, 1
Atlanta Braves, Los Angeles Dodgers, 2, 11, 2
Boston Red Sox, Houston Astros, 0, 5, 2
Los Angeles Dodgers, Atlanta Braves, 2, 4, 2
Atlanta Braves, Houston Astros, 6, 2, 1
Atlanta Braves, Houston Astros, 2, 7, 2
Houston Astros, Atlanta Braves, 0, 2, 2
Houston Astros, Atlanta Braves, 2, 3, 2
Houston Astros, Atlanta Braves, 9, 5, 1
Atlanta Braves, Houston Astros, 7, 0, 1
