Team1, Team2, Score1, Score2, WinningTeam
Washington Nationals, Toronto Blue Jays, 5, 9, 2
San Diego Padres, Arizona D'Backs, 12, 3, 1
Chicago Cubs, Atlanta Braves, 0, 10, 2
New York Yankees, Baltimore Orioles, 7, 0, 1
Minnesota Twins, Cleveland Indians, 10, 2, 1
Seattle Mariners, Houston Astros, 5, 7, 2
Cincinnati Reds, Los Angeles Dodgers, 0, 8, 2
Miami Marlins, Milwaukee Brewers, 6, 2, 1
Boston Red Sox, New York Mets, 1, 0, 1
Kansas City Royals, Pittsburgh Pirates, 9, 6, 1
Colorado Rockies, San Francisco Giants, 3, 7, 2
Philadelphia Phillies, St. Louis Cardinals, 5, 3, 1
Oakland Athletics, Tampa Bay Rays, 0, 2, 2
Los Angeles Angels, Texas Rangers, 4, 3, 1
Washington Nationals, Toronto Blue Jays, 8, 2, 1
Colorado Rockies, Arizona D'Backs, 3, 5, 2
Chicago Cubs, Atlanta Braves, 9, 3, 1
New York Yankees, Baltimore Orioles, 3, 4, 2
Detroit Tigers, Chicago White Sox, 1, 3, 2
Detroit Tigers, Chicago White Sox, 0, 11, 2
Seattle Mariners, Houston Astros, 1, 0, 1
Los Angeles Dodgers, Milwaukee Brewers, 1, 2, 2
Philadelphia Phillies, St. Louis Cardinals, 3, 4, 2
Oakland Athletics, Tampa Bay Rays, 3, 2, 1
Boston Red Sox, Texas Rangers, 1, 4, 2
Colorado Rockies, Arizona D'Backs, 2, 7, 2
Cleveland Indians, Chicago White Sox, 5, 3, 1
Chicago Cubs, Cincinnati Reds, 6, 8, 2
Los Angeles Dodgers, Milwaukee Brewers, 1, 3, 2
Kansas City Royals, Minnesota Twins, 1, 9, 2
Detroit Tigers, New York Yankees, 0, 10, 2
Baltimore Orioles, Oakland Athletics, 3, 2, 1
New York Mets, Philadelphia Phillies, 1, 2, 2
St. Louis Cardinals, Pittsburgh Pirates, 7, 3, 1
San Francisco Giants, San Diego Padres, 2, 3, 2
Los Angeles Angels, Seattle Mariners, 4, 7, 2
Houston Astros, Tampa Bay Rays, 9, 2, 1
Boston Red Sox, Texas Rangers, 6, 1, 1
Atlanta Braves, Toronto Blue Jays, 5, 13, 2
Miami Marlins, Washington Nationals, 1, 2, 2
Colorado Rockies, Arizona D'Backs, 14, 6, 1
Cleveland Indians, Chicago White Sox, 3, 7, 2
Chicago Cubs, Cincinnati Reds, 3, 2, 1
Los Angeles Dodgers, Milwaukee Brewers, 5, 6, 2
Kansas City Royals, Minnesota Twins, 11, 3, 1
Detroit Tigers, New York Yankees, 4, 6, 2
Baltimore Orioles, Oakland Athletics, 8, 4, 1
New York Mets, Philadelphia Phillies, 5, 4, 1
St. Louis Cardinals, Pittsburgh Pirates, 12, 5, 1
San Francisco Giants, San Diego Padres, 2, 6, 2
